Listing_ID;Layout;Condition;Floor_Space;Price;Fees;Refundable_security_deposit;Town;Metropolitan_district;Street;Ownership_Type;Building_Type;PENB;Furnishing_and_Fittings;Floor;Balcony;Terrace;Cellar;Loggia;Parking;Lift;Garage;New_building;Available_from;Heating;Total_number_of_floors;Renovation;Design;Age
656571;2 bedroom with open-plan kitchen;Excellent;67 m²;CZK 16,900;CZK 3,900;CZK 34,000;Prague;Prosek;Mimoňská;Personal;Brick building;D;Furnished;2;No;No;No;No;Yes;No;No;;05. 12. 2021;Central heating;Middle floor;;;
693818;Studio;Good;25 m²;CZK 5,400;;CZK 10,800;Frýdek-Místek;Frýdek;Lipová;Personal;Prefab concrete building;D;;6;No;No;Yes;No;Yes;No;No;;;;;;;;CZK 5,000
693817;1 bedroom;Good;45 m²;CZK 6,350;;CZK 12,700;Moravská Ostrava;Moravskoslezský Region;Gajdošova;Personal;Brick building;E;;1;No;No;Yes;No;Yes;No;No;;;;;;;;CZK 5,000
693816;2 bedroom;Good;48 m²;CZK 6,850;;CZK 13,700;Moravská Ostrava;Moravskoslezský Region;Na Jízdárně;Personal;Brick building;D;;2;No;No;Yes;No;Yes;No;No;;;;;;;;CZK 5,000
688833;Studio;;32 m²;CZK 13,124;CZK 4,375;;Prague;Libeň;Na Žertvách;;;;Furnished;2;No;No;No;No;No;No;Yes;;04. 01. 2022;;;;;
690579;1 bedroom with open-plan kitchen;;65 m²;CZK 22,500;CZK 7,500;;Prague;Nusle;Mečislavova;;;;Furnished;2;Yes;No;No;No;No;No;No;;26. 11. 2021;;;;;
693783;Studio;New build;40 m²;CZK 11,000;CZK 2,500;CZK 11,000;Prague;Řepy;Plzeňská;Personal;Brick building;A;Partially furnished;2;No;No;Yes;No;Yes;No;No;Yes;01. 12. 2021;;;;;1 to 10 years years
693814;2 bedroom;Good;54 m²;CZK 6,400;;CZK 12,800;Havířov-město;Moravskoslezský Region;V Parku;Personal;Brick building;E;;3;No;No;Yes;No;Yes;No;No;;;;;;;;CZK 6,000
693813;Studio;Good;21 m²;CZK 3,900;;CZK 7,800;Stonava;Moravskoslezský Region;Bažantnice;Personal;Brick building;C;;1;No;No;Yes;No;Yes;No;No;;;;;;;;CZK 6,000
483897;2 bedroom with open-plan kitchen;Excellent;92 m²;CZK 21,000;CZK 3,000;CZK 25,000;Prague;Suchdol;Uzoučká;Personal;Brick building;;Furnished;2;No;No;Yes;No;No;No;No;;01. 01. 2022;Gas boiler;Attic;;;1 to 10 years years
693811;2 bedroom with open-plan kitchen;New build;85 m²;CZK 21,000;CZK 3,000;CZK 25,000;Prague;Suchdol;Uzoučká;Personal;Brick building;G;Furnished;1;No;No;Yes;No;Yes;No;No;;01. 01. 2022;;;;;
693812;1 bedroom with open-plan kitchen;New build;40 m²;CZK 16,000;CZK 2,000;CZK 30,000;Prague;Žižkov;Bořivojova;Personal;Brick building;G;Furnished;4;No;No;Yes;No;No;Yes;No;;26. 11. 2021;;;;;
685425;1 bedroom with open-plan kitchen;Excellent;40 m²;CZK 12,000;CZK 700;CZK 22,000;Středočeský Region;;Luštěnice;Cooperative;Brick building;G;Furnished;2;No;No;Yes;No;No;No;No;;26. 09. 2021;;;;;
596203;Studio;New build;37 m²;CZK 12,000;CZK 2,300;CZK 15,000;Prague;Pitkovice;Chorošová;Personal;Low-energy building;B;Partially furnished;1;Yes;Yes;No;No;No;Yes;No;Yes;09. 12. 2021;Central heating;Ground floor;;Premium materials and solutions;1 to 10 years years;41 m²
537662;2 bedroom;Excellent;66 m²;CZK 13,990;CZK 2,990;CZK 16,990;Neředín;Olomoucký Region;Olomouc;Personal;Brick building;B;Furnished;1;Yes;No;Yes;No;Yes;No;No;;30. 04. 2020;District heating;Raised ground floor;;;1 to 10 years years
693809;1 bedroom with open-plan kitchen;New build;54 m²;CZK 19,000;CZK 3,200;CZK 38,000;Prague;Holešovice;Jankovcova;Personal;Brick building;G;Partially furnished;3;No;No;No;Yes;No;No;Yes;;15. 12. 2021;;;;;
693652;2 bedroom with open-plan kitchen;Excellent;67 m²;CZK 25,000;CZK 1,650;CZK 50,000;Prague;Vinohrady;Slezská;Personal;Brick building;C;Partially furnished;5;Yes;No;Yes;No;No;Yes;No;;01. 01. 2022;;;;;
693805;1 bedroom;Excellent;38 m²;CZK 7,000;;CZK 14,000;Ostrava;Poruba;Alšova;Personal;Brick building;E;;4;No;No;No;No;Yes;No;No;;;;;;;;CZK 6,000
693804;1 bedroom;Good;38 m²;CZK 6,200;;CZK 12,400;Havířov;Bludovice;Kosmonautů;Personal;Prefab concrete building;D;;4;Yes;No;Yes;No;Yes;No;No;;;;;;;;CZK 6,000
693803;2 bedroom;Good;56 m²;CZK 7,000;;CZK 14,000;Havířov-město;Moravskoslezský Region;Třeneckého;Personal;Brick building;F;;4;No;No;Yes;No;Yes;No;No;;;;;;;;CZK 6,000
693802;1 bedroom;Good;38 m²;CZK 4,650;;CZK 9,300;Albrechtice u Českého Těšína;Moravskoslezský Region;Hornická;Personal;Prefab concrete building;C;;3;No;No;Yes;No;Yes;No;No;;;;;;;;CZK 6,000
693801;1 bedroom;Good;35 m²;CZK 7,340;;CZK 14,680;Ostrava;Poruba;Čs. exilu;Personal;Brick building;E;;2;No;No;No;No;Yes;No;No;;;;;;;;CZK 6,000
691271;2 bedroom with open-plan kitchen;New build;75 m²;CZK 24,000;CZK 5,000;CZK 40,000;Prague;Žižkov;U Staré cihelny;Personal;Brick building;B;Furnished;3;Yes;No;Yes;No;Yes;Yes;Yes;;08. 12. 2021;;;;;
643445;Studio;Excellent;38 m²;CZK 16,000;CZK 3,500;CZK 19,500;Prague;Vršovice;28. Pluku;Personal;Brick building;D;Furnished;3;No;Yes;Yes;No;No;Yes;No;;25. 10. 2021;District heating;Top floor;Overall;;
693800;3 bedroom;Good;72 m²;CZK 7,750;;CZK 15,500;Havířov-město;Moravskoslezský Region;Na Nábřeží;Personal;Brick building;E;;3;Yes;No;Yes;No;Yes;No;No;;;;;;;;CZK 6,000
693799;2 bedroom;Good;54 m²;CZK 6,150;;CZK 12,300;Havířov-město;Moravskoslezský Region;Na Nábřeží;Personal;Brick building;E;;5;Yes;No;Yes;No;Yes;No;No;;;;;;;;CZK 6,000
322738;2 bedroom;;61 m²;CZK 12,000;CZK 3,500;CZK 40,000;Říčany u Prahy;Středočeský Region;U Olivovny;Personal;Prefab concrete building;;Partially furnished;3;Yes;No;No;No;No;No;No;;01. 12. 2021;District heating;Middle floor;Interior;;
693798;2 bedroom with open-plan kitchen;New build;75 m²;CZK 20,000;CZK 2,500;CZK 40,000;Jihočeský Region;;České Budějovice 2;Personal;Low-energy building;B;;;No;Yes;No;No;No;Yes;No;;Ihned;;;;;
356867;1 bedroom;;50 m²;CZK 8,900;CZK 2,000;CZK 10,000;Skvrňany;Plzeňský Region;Plzeň;Personal;Brick building;;Partially furnished;1;No;No;Yes;No;No;No;No;;10. 11. 2021;Gas boiler;Ground floor;;;
372339;Studio;;29 m²;CZK 10,000;CZK 1,873;CZK 14,000;Prague;Hodkovičky;Pod lysinami;Personal;Prefab concrete building;D;Furnished;2;No;No;No;No;No;No;No;;01. 02. 2021;;;;;
693797;Studio;Excellent;33 m²;CZK 8,900;CZK 1,000;CZK 15,000;Měchnov;Středočeský Region;Divišov;Personal;Brick building;G;Partially furnished;1;No;No;No;No;Yes;No;No;;26. 11. 2021;;;;;
629244;1 bedroom;Good;44 m²;CZK 12,000;CZK 600;CZK 20,000;Prague;Strašnice;Kounická;Personal;Brick building;G;Partially furnished;2;No;No;No;No;No;No;No;;26. 11. 2021;Other;;Overall;;
681853;1 bedroom with open-plan kitchen;Good;50 m²;CZK 14,000;CZK 600;CZK 15,000;Prague;Bubeneč;Sládkova;Personal;Brick building;G;Partially furnished;4;No;No;No;No;No;No;No;;01. 09. 2021;;Middle floor;;;
693795;2 bedroom;Good;51 m²;CZK 6,200;;CZK 12,400;Havířov-město;Moravskoslezský Region;Národní třída;Personal;Brick building;E;;4;Yes;No;Yes;No;Yes;No;No;;;;;;;;CZK 4,000
693794;2 bedroom;Excellent;53 m²;CZK 6,100;;CZK 12,200;Havířov-město;Moravskoslezský Region;Národní třída;Personal;Prefab concrete building;C;;4;No;No;Yes;No;Yes;No;No;;;;;;;;CZK 4,000
693793;3 bedroom;Excellent;71 m²;CZK 11,400;;CZK 22,800;Ostrava;Výškovice u Ostravy;Šeříková;Personal;Prefab concrete building;C;;4;Yes;No;Yes;No;Yes;No;No;;;;;;;;CZK 6,000
693792;Studio;Excellent;28 m²;CZK 4,350;;CZK 8,700;Orlová;Horní Lutyně;Okružní;Personal;Prefab concrete building;C;;5;Yes;No;No;No;Yes;No;No;;;;;;;;CZK 3,000
693791;3 bedroom;Good;73 m²;CZK 6,700;;CZK 13,400;Albrechtice u Českého Těšína;Moravskoslezský Region;Hornická;Personal;Prefab concrete building;D;;4;Yes;No;Yes;No;Yes;No;No;;;;;;;;CZK 3,000
669685;1 bedroom with open-plan kitchen;Excellent;86 m²;CZK 9,000;CZK 5,000;CZK 14,000;Plzeň;Lobzy;Revoluční;Personal;Brick building;A;Partially furnished;1;No;No;No;No;Yes;No;No;;10. 07. 2021;;;;;
471278;Studio;;30 m²;CZK 9,500;CZK 3,000;CZK 15,000;Prague;Záběhlice;Jahodová;Cooperative;Prefab concrete building;F;Furnished;2;No;No;Yes;No;No;Yes;No;;01. 01. 1970;District heating;;;Standard materials and solutions;
689543;2 bedroom;Excellent;75 m²;CZK 17,000;CZK 400;CZK 17,000;Prague;Michle;Hadovitá;Personal;Brick building;G;Unfurnished;3;No;No;Yes;No;No;No;No;;01. 12. 2021;;;;;
237207;1 bedroom;;42 m²;CZK 10,500;CZK 3,500;CZK 20,000;Brno;Žabovřesky;Záhřebská;Personal;Brick building;B;Partially furnished;1;Yes;No;Yes;Yes;No;Yes;No;;01. 12. 2021;District heating;;Overall;;
691869;3 bedroom;Excellent;77 m²;CZK 10,000;CZK 2,000;CZK 12,000;Most II;Ústecký Region;W. A. Mozarta;Personal;Brick building;G;Furnished;1;No;No;Yes;No;No;No;No;;01. 01. 2022;;;;;
693785;1 bedroom with open-plan kitchen;Good;40 m²;CZK 12,000;CZK 3,000;CZK 12,000;Mladá Boleslav;Středočeský Region;Jana Palacha;Cooperative;Prefab concrete building;G;Partially furnished;4;No;No;Yes;No;No;Yes;No;;26. 11. 2021;;;;;
693781;2 bedroom with open-plan kitchen;Excellent;70 m²;CZK 21,000;CZK 4,000;CZK 42,000;Prague;Kobylisy;Kurkova;Personal;Prefab concrete building;G;Unfurnished;2;No;No;No;Yes;No;No;No;;01. 12. 2021;;;;;
693782;4 bedroom;Excellent;100 m²;CZK 25,000;CZK 1,500;CZK 26,500;Prague;Strašnice;Pod Třebešínem;Personal;Brick building;B;Partially furnished;1;Yes;Yes;No;No;Yes;No;No;;26. 11. 2021;Gas boiler;Middle floor;Overall;Standard materials and solutions;1 to 10 years years;36 m²
693859;2 bedroom;Excellent;61 m²;CZK 18,000;CZK 4,000;CZK 54,000;Prague;Podolí;Kubištova;Personal;Other;G;Partially furnished;6;No;No;Yes;Yes;No;Yes;Yes;;01. 12. 2021;;;;;
686986;1 bedroom with open-plan kitchen;New build;51 m²;CZK 13,000;CZK 5,000;CZK 18,000;Prague;Vysočany;Poděbradská;Personal;Brick building;G;Partially furnished;2;No;No;No;Yes;No;No;No;;01. 12. 2021;District heating;;;Standard materials and solutions;1 to 10 years years
694045;1 bedroom with open-plan kitchen;Good;47 m²;CZK 15,000;CZK 650;CZK 30,000;Prague;Vinohrady;Šrobárova;Cooperative;Brick building;G;Partially furnished;5;No;No;Yes;No;No;Yes;No;;01. 01. 2022;;;;;
660623;1 bedroom;Good;39 m²;CZK 9,500;CZK 2,115;CZK 9,000;Malešice;;Prague;Cooperative;Prefab concrete building;D;Partially furnished;1;No;No;No;No;No;No;No;;26. 04. 2021;District heating;;;;
512734;1 bedroom with open-plan kitchen;Excellent;40 m²;CZK 12,000;CZK 4,000;CZK 12,000;Prague;Kamýk;Zárubova;Personal;Prefab concrete building;;Furnished;2;No;No;No;Yes;Yes;Yes;No;;01. 12. 2021;District heating;Middle floor;Overall;Standard materials and solutions;
693728;1 bedroom;Excellent;37 m²;CZK 11,000;CZK 3,000;CZK 14,000;Prague;Vršovice;náměstí Svatopluka Čecha;Personal;Brick building;E;Partially furnished;4;No;No;No;No;No;Yes;No;;01. 12. 2021;;;;;
577002;1 bedroom with open-plan kitchen;;43 m²;CZK 17,000;CZK 3,500;CZK 51,000;Troja;;Prague;Personal;Brick building;C;Unfurnished;1;No;No;No;No;No;No;No;;01. 01. 2022;;;;;
502610;2 bedroom with open-plan kitchen;Excellent;69 m²;CZK 18,000;CZK 4,000;CZK 20,000;Chodov;;Prague;Personal;Prefab concrete building;;Partially furnished;8;Yes;No;No;No;No;Yes;No;;04. 10. 2021;District heating;;Overall;Premium materials and solutions;
694046;Studio;Excellent;29 m²;CZK 12,000;CZK 750;CZK 12,750;Prague;Braník;Na Mlejnku;Other;Brick building;G;Partially furnished;2;No;No;No;No;No;No;No;;29. 11. 2021;;;;;
526083;Studio;;28 m²;CZK 10,499;CZK 2,499;CZK 15,000;Prague;Nusle;Nuselská;Personal;Brick building;;Furnished;1;No;No;No;No;No;No;No;;;Central heating;Ground floor;;Standard materials and solutions;10 to 30 years years
694044;1 bedroom with open-plan kitchen;Excellent;55 m²;CZK 16,000;CZK 3,000;CZK 16,000;Prague;Krč;U Krčského nádraží;Personal;Brick building;C;Partially furnished;1;No;No;Yes;No;Yes;No;No;;01. 12. 2021;;;;;
